Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),600,0.4588252007961273,0.10615166276693344,,,43.781386379089426
Occlusion public video (YOLOv8n),600,0.39058423042297363,0.08946486562490463,,,55.11021601686986
Occlusion public video (TCVM-Net),600,0.37963175773620605,0.08739457279443741,0.496551724137931,0.2723809523809524,24.098018788395432
