Stage,Mean ms,p95 ms,FPS,Peak RSS MB
YOLOv8 detector only,13.705131057848005,18.805590004194524,72.96537302555508,1163.87109375
YOLOv8 detector + ROI features,26.9076170211539,30.768770026043057,37.16419775165643,1172.56640625
IoU tracking association,1.672154893860855,4.281320062000304,598.0307229141256,1172.56640625
TCVM verification + optical flow,378.0320723412281,445.83137002773583,2.6452782003569175,1172.56640625
Full YOLOv8 + TCVM pipeline,406.66416212569607,474.84943001763895,2.459031537898118,1172.56640625
