Mode,Flow Scale,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Full TCVM,1.00,0.3735545575618744,0.08007016777992249,0.5825242718446603,0.20476190476190476,2.679278749205623
Scaled-flow TCVM (0.50),0.50,0.3733333945274353,0.0800137147307396,0.5555555555555556,0.22857142857142856,5.125879884526174
Scaled-flow TCVM (0.25),0.25,0.3697464168071747,0.07909706979990005,0.5217391304347826,0.2619047619047619,13.479718735296808
Fast TCVM,none,0.3594872057437897,0.07714433968067169,0.41958041958041964,0.3952380952380952,32.20766125429351
