Threshold,Accuracy,Precision,Recall,F1,FPR,F1 CI Low,F1 CI High
0.3,0.35833333333333334,0.16304347826086957,1.0,0.2803738317757009,0.7333333333333333,0.2631578947368421,0.3
0.4,0.7,0.29411764705882354,1.0,0.45454545454545453,0.34285714285714286,0.3947368421052631,0.5357142857142857
0.45,0.8208333333333333,0.410958904109589,1.0,0.5825242718446603,0.20476190476190476,0.5172413793103449,0.6741573033707865
0.5,0.8333333333333334,0.25,0.16666666666666666,0.2,0.07142857142857142,0.07839366515837105,0.326530612244898
0.62,0.875,0.0,0.0,0.0,0.0,0.0,0.0
