Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),120,0.440006822347641,0.09408603608608246,,,29.39533214024383
Multi-clip occlusion public video (YOLOv8n),120,0.3768572509288788,0.07883136719465256,,,30.396598093467677
Multi-clip occlusion public video (TCVM-Net),120,0.3759564459323883,0.07885884493589401,0.5172413793103449,0.26666666666666666,2.3259175220019674
