Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),480,0.4131122827529907,0.08913791179656982,,,34.33080805010416
Occlusion public video (YOLOv8n),480,0.3529646098613739,0.07551971822977066,,,39.17589808701139
Occlusion public video (TCVM-Net),480,0.3546420633792877,0.07555944472551346,0.5906735751295336,0.18095238095238095,18.136435530161258
