attack,asr,ci_low,ci_high,images,clean_targets
FGSM,0.012448132780082987,0.0,0.02727272727272727,50,241
PGD,0.016597510373443983,0.0038022813688212928,0.03308884398130112,50,241
Patch,0.3900414937759336,0.3181818181818182,0.4681845898004434,50,241
Sticker,0.26141078838174275,0.20376774085824012,0.3278008298755187,50,241
Reflective,0.8630705394190872,0.7882342728758169,0.9452746035447761,50,241
Motion blur,0.6721991701244814,0.5429859834558823,0.7808232822136113,50,241
Occlusion,0.8008298755186722,0.7238493723849372,0.8844448871181939,50,241
Low light,0.029045643153526972,0.006867697594501723,0.05511883395090318,50,241
