Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),24,0.6706493496894836,0.18661382794380188,,,30.926503939839147
Short-gap occlusion public video (YOLOv8n),24,0.6025564670562744,0.1733902543783188,,,9.239762362643518
Short-gap occlusion public video (TCVM-Net),24,0.6306397318840027,0.1794520616531372,0.7499999999999999,0.09523809523809523,2.25086177055933
