Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),720,0.457144170999527,0.10643291473388672,,,42.35661299806835
Occlusion public video (YOLOv8n),720,0.3878690302371979,0.08962458372116089,,,45.745105713482126
Occlusion public video (TCVM-Net),720,0.3936103582382202,0.09059138596057892,0.891304347826087,0.01904761904761905,14.100189199794233
