Setting,Frames,mAP@50,mAP@50:95,Anom. F1,FPR,FPS
Clean public video (YOLOv8n),240,0.43503761291503906,0.09414906799793243,,,27.227534518669447
10-clip occlusion public video (YOLOv8n),240,0.374058336019516,0.08039461076259613,,,27.812015527003215
10-clip occlusion public video (TCVM-Net),240,0.3735545575618744,0.08007016777992249,0.5825242718446603,0.20476190476190476,2.679278749205623
