Setting,Frames,mAP@50,mAP@50:95,ASR,Anom. R,Anom. F1,FPS
Clean public video (YOLOv8n),120,0.440006822347641,0.09408603608608246,,,,29.39533214024383
YOLOv8-specific printable patch,120,0.2786625325679779,0.0873301774263382,0.3708165997322624,,,32.23893694773062
YOLOv8-specific patch + TCVM,120,0.2716507017612457,0.08588679879903793,,0.10833333333333334,0.19548872180451127,2.3689988919891785
Clean public video (YOLOv8s transfer check),120,0.3842243552207947,0.07554040104150772,,,,23.124185353341474
YOLOv8n patch transferred to YOLOv8s,120,0.24501608312129974,0.07403962314128876,,,,39.42767056243655
